alpha_fast,alpha_slow,smoother_days,sample,start,end,trading_days,ending_value,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_gross_exposure,average_daily_turnover,validation_rank
0.5,0.3333333333333333,9,training,2020-01-02,2024-05-31,1111,1.6388383959380337,0.11867903696188731,0.2801485293241055,0.5406435901487758,-0.41851099812480064,1.9132468175009696,0.7913800478520111,10.0
0.5,0.3333333333333333,9,validation,2024-06-03,2025-05-30,249,0.7772364714721747,-0.22591634009572048,0.28125932813355603,-0.7658403793866263,-0.3018190796438047,1.9150812563159159,0.7938491168447842,10.0
0.5,0.2,9,training,2020-01-02,2024-05-31,1111,1.9301380145593365,0.16101084716919334,0.28213571174320945,0.670373677800601,-0.39947049761612363,1.9310548870719715,0.7912016614701752,6.0
0.5,0.2,9,validation,2024-06-03,2025-05-30,249,0.7889216449812912,-0.21408943399569658,0.2786665211740366,-0.7212860325281002,-0.2988244883477451,1.9328927860804546,0.7937675364540775,6.0
0.5,0.125,9,training,2020-01-02,2024-05-31,1111,2.282501749278446,0.20606026896523777,0.28531419429728666,0.7992683529255734,-0.34874644278241795,1.945775803770809,0.7910036133592327,2.0
0.5,0.125,9,validation,2024-06-03,2025-05-30,249,0.8028791393183827,-0.19995894539514736,0.2745957559230918,-0.6713878391131262,-0.30020946475192634,1.9480433929049608,0.7936301005996421,2.0
0.5,0.1,9,training,2020-01-02,2024-05-31,1111,2.4204662358432922,0.22223708019861466,0.287769031959464,0.8411202521267616,-0.3085226519559149,1.9516986061073123,0.7909479594853228,3.0
0.5,0.1,9,validation,2024-06-03,2025-05-30,249,0.7999072443379439,-0.20296800948478722,0.2740411525119335,-0.686974461082683,-0.30378914638949106,1.9549907555308172,0.7936129650366106,3.0
0.3333333333333333,0.2,9,training,2020-01-02,2024-05-31,1111,2.1170213418995063,0.18562795870102344,0.2823409606265506,0.7443335059433193,-0.3835229727697317,1.9382587969648395,0.7910889828926814,4.0
0.3333333333333333,0.2,9,validation,2024-06-03,2025-05-30,249,0.7992823974593455,-0.203600648324462,0.2737594093039178,-0.6908778766179897,-0.3019981407130252,1.9401745961674335,0.793662920281964,4.0
0.3333333333333333,0.125,9,training,2020-01-02,2024-05-31,1111,2.4623706765594635,0.22700916282818207,0.2861545187178082,0.8578817232328697,-0.3170093775270042,1.9503317007487162,0.7909160431927358,1.0
0.3333333333333333,0.125,9,validation,2024-06-03,2025-05-30,249,0.8062364442472113,-0.19655943500590545,0.27012200592886504,-0.6713699432431895,-0.30580400131768926,1.9529070966258082,0.7935443784183188,1.0
0.3333333333333333,0.1,9,training,2020-01-02,2024-05-31,1111,2.554999918035382,0.23733911663511198,0.28870875217072745,0.8818374153278359,-0.309185829646925,1.9552888980847305,0.7908932366400094,7.0
0.3333333333333333,0.1,9,validation,2024-06-03,2025-05-30,249,0.7953566341620515,-0.20757518390420515,0.26994863247423273,-0.7229015336414393,-0.31171169906555696,1.9593578947074304,0.7935551476173894,7.0
0.2,0.125,9,training,2020-01-02,2024-05-31,1111,2.6259184154778885,0.2450539512375698,0.2880432560111298,0.9047750813314768,-0.3018514238184029,1.9573472499369187,0.7908576573970044,5.0
0.2,0.125,9,validation,2024-06-03,2025-05-30,249,0.8026923518320904,-0.20014807430629478,0.263902148119821,-0.7104521374555725,-0.308227196957756,1.9614114434070244,0.7934459294417837,5.0
0.2,0.1,9,training,2020-01-02,2024-05-31,1111,2.5752372690026757,0.23955733230150567,0.29008337047465416,0.8852092182055461,-0.31737105997176596,1.9613219547240026,0.7909105687276894,9.0
0.2,0.1,9,validation,2024-06-03,2025-05-30,249,0.7914842460957286,-0.21149537116498585,0.26486924479010193,-0.7606709228056394,-0.31402445274622004,1.9655481124317662,0.7934963023614173,9.0
0.125,0.1,9,training,2020-01-02,2024-05-31,1111,2.2816980552222943,0.205963844926073,0.290591227397434,0.7896513470093843,-0.350021754437133,1.9667011352000916,0.791062052682122,8.0
0.125,0.1,9,validation,2024-06-03,2025-05-30,249,0.7951731791947417,-0.2077609103241007,0.2639217942785613,-0.7467336425861606,-0.3278476661633909,1.971725845224541,0.7935275580422645,8.0
