fast_days,slow_days,smoother_days,sample,start,end,trading_days,ending_value,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_gross_exposure,average_daily_turnover,validation_rank
5,10,2,training,2020-01-02,2024-05-31,1111,1.0765579330892294,0.01688854922298355,0.27364414991833613,0.1981146215388742,-0.504906618141872,1.8250917236443862,0.7903802809942589,3.0
5,10,2,validation,2024-06-03,2025-05-30,249,0.8499915272321533,-0.1522337513286487,0.2741359920923583,-0.46301531687616326,-0.24810681488588593,1.8369301087094267,0.7935363437535726,3.0
5,10,3,training,2020-01-02,2024-05-31,1111,1.164791849587956,0.0352378921908274,0.27444805538376355,0.2634321341810897,-0.4772385150435563,1.833320554848855,0.7895617579460673,16.0
5,10,3,validation,2024-06-03,2025-05-30,249,0.8330246537715292,-0.1694263619320735,0.275146470818003,-0.5343962493960649,-0.2570485652791705,1.8454772993661819,0.7935876299314483,16.0
5,10,4,training,2020-01-02,2024-05-31,1111,1.2638849431946333,0.05460629772083947,0.27607430736167493,0.33062169551010084,-0.47635500706954303,1.8436962093127143,0.7887602135966214,24.0
5,10,4,validation,2024-06-03,2025-05-30,249,0.8146378693558424,-0.18805139504904944,0.27578236356072533,-0.6143648816695724,-0.27280001251991015,1.855530983660417,0.7936317506941699,24.0
5,20,2,training,2020-01-02,2024-05-31,1111,1.6513878599446057,0.12061809450291094,0.28566151552967056,0.541852679120614,-0.4309841650364502,1.9014950809138909,0.7827567744664479,32.0
5,20,2,validation,2024-06-03,2025-05-30,249,0.773785019664208,-0.22940910879516208,0.28399946227659495,-0.7715789230612992,-0.29438516931430003,1.9258985761152976,0.7939022246174636,32.0
5,20,3,training,2020-01-02,2024-05-31,1111,1.7655340908859898,0.13775184595061862,0.2854784520696908,0.595090863725056,-0.42731761907207566,1.9027143350581228,0.7819716330795827,31.0
5,20,3,validation,2024-06-03,2025-05-30,249,0.7773878301808856,-0.2257631637570474,0.28170573580207453,-0.7634294461303467,-0.3010864637814453,1.9284102101745155,0.7938590685008543,31.0
5,20,4,training,2020-01-02,2024-05-31,1111,1.882627331970984,0.15446012145269306,0.28533366502671553,0.6462577741867448,-0.41580765407803455,1.9040624490955107,0.7811878423720328,30.0
5,20,4,validation,2024-06-03,2025-05-30,249,0.786430431323795,-0.21661110265532124,0.2791395712184235,-0.7310907463833515,-0.30283679854398904,1.9308925994877542,0.7937765686330236,30.0
10,20,2,training,2020-01-02,2024-05-31,1111,2.1526793867633156,0.1901324927979282,0.28322679630695996,0.7564071881493644,-0.38586081939973993,1.9106322924573946,0.782493831776327,22.0
10,20,2,validation,2024-06-03,2025-05-30,249,0.8196788069742097,-0.18294580716496045,0.27393079593338754,-0.5973908291915593,-0.30326114450531727,1.933463703193891,0.7935109508604278,22.0
10,20,3,training,2020-01-02,2024-05-31,1111,2.2243135172993096,0.19901019519216634,0.28280975075132825,0.783303018521512,-0.37644900618580235,1.9103978682804545,0.7817388670159741,20.0
10,20,3,validation,2024-06-03,2025-05-30,249,0.8265136281355718,-0.17602252079817682,0.2718447909482037,-0.573192241899994,-0.30538057577315014,1.935412832283685,0.7934458797393248,20.0
10,20,4,training,2020-01-02,2024-05-31,1111,2.287225963433813,0.20662653160630096,0.2823654147557738,0.8064387371578366,-0.364130495731254,1.910381978704748,0.7809844114375458,18.0
10,20,4,validation,2024-06-03,2025-05-30,249,0.8334905370579457,-0.1689543551523378,0.26939534527175346,-0.5493213795487712,-0.30466717264427257,1.9363226841685954,0.7933794257980168,18.0
10,20,5,training,2020-01-02,2024-05-31,1111,2.35605636811343,0.2147760127998548,0.28203179710420034,0.8308482851272421,-0.3458659726389556,1.9106388958146991,0.7802221229297555,14.0
10,20,5,validation,2024-06-03,2025-05-30,249,0.8402209409342705,-0.1621350143310254,0.26694712045143487,-0.5263613950925202,-0.3027703081749936,1.9381343411741438,0.7933099159085678,14.0
10,20,6,training,2020-01-02,2024-05-31,1111,2.416217024394167,0.22174962219908712,0.28174021267523874,0.8516553194726003,-0.32504165510413796,1.9106629793970196,0.7794677617851732,11.0
10,20,6,validation,2024-06-03,2025-05-30,249,0.8466889315546811,-0.15558072401313083,0.2645595665724043,-0.5041965791962641,-0.30004838188141647,1.9395017045568888,0.7932396826265802,11.0
10,20,7,training,2020-01-02,2024-05-31,1111,2.452036659102163,0.22583819023297358,0.28162326763261886,0.8636882752355279,-0.3028575100465536,1.9108902116245203,0.7787209487770211,4.0
10,20,7,validation,2024-06-03,2025-05-30,249,0.8539721889945208,-0.14819932267565583,0.26226377936325945,-0.47787916541941194,-0.29601438555833104,1.9413504525640293,0.7931703624154718,4.0
10,20,8,training,2020-01-02,2024-05-31,1111,2.475957776865835,0.22854298344945545,0.28175097682897926,0.8711928840949807,-0.281084292095204,1.9111943304454166,0.7779760446415074,2.0
10,20,8,validation,2024-06-03,2025-05-30,249,0.861594968839445,-0.14047273634346358,0.2600542234781705,-0.44958808623076923,-0.2903190232380214,1.9427467742584121,0.7931035832138132,2.0
10,20,9,training,2020-01-02,2024-05-31,1111,2.47371416423086,0.22829015571475808,0.28201193850804374,0.8698784842534213,-0.2599989712543649,1.911337068144127,0.7772367489988015,1.0
10,20,9,validation,2024-06-03,2025-05-30,249,0.8678408312909739,-0.13414099585344053,0.257852255082009,-0.4272978115751426,-0.2840982054059338,1.9453089638953338,0.793047130462007,1.0
10,60,2,training,2020-01-02,2024-05-31,1111,1.8153975270771885,0.14496861978264408,0.2946078483438905,0.6068569120405402,-0.41517404182526296,1.877899057727072,0.7541762974885786,39.0
10,60,2,validation,2024-06-03,2025-05-30,249,0.7453474314156019,-0.2581774524885785,0.28118541877456654,-0.9168768280794573,-0.3724880660165001,1.9764547524443408,0.7939785041042922,39.0
10,60,3,training,2020-01-02,2024-05-31,1111,1.7749211427946183,0.1391223732128568,0.2948454414260183,0.5892674146169932,-0.42154844918030965,1.8763318621985978,0.7534605354898061,40.0
