sample,start,end,trading_days,active_return_days,mean_daily_return,daily_return_std,annualized_return,ending_value,max_drawdown,average_gross_exposure,average_daily_turnover
training,2020-01-02,2024-05-31,1111,405,-0.00010207781195043849,0.005668575796049457,-0.029340261324769967,0.877068039687831,-0.23750011334822518,0.5822883886746392,0.26022104658463036
validation,2024-06-03,2025-05-30,249,112,0.0005780163094177177,0.006587428168552982,0.15113006486407565,1.1485612719252438,-0.09109790613858348,0.7284821122856445,0.3082247952822539
test,2025-06-02,2026-06-29,270,118,0.0005093311500036958,0.007206508247907422,0.13006622890102282,1.1394264646975325,-0.05078741682787902,0.7105915568935736,0.31371913352535896
