sample,start,end,trading_days,active_return_days,mean_daily_return,daily_return_std,annualized_return,ending_value,max_drawdown,average_gross_exposure,average_daily_turnover,model,model_label,annualized_volatility,sharpe
training,2020-01-02,2024-05-31,1111,856,0.00021242191746697933,0.010935673430072377,0.03926306609865793,1.1848730349233425,-0.21707030607861888,1.4364822365604342,0.6134706332651146,equal_weight,Equal Weight,0.1735984338899292,0.3083571781276548
validation,2024-06-03,2025-05-30,249,247,0.0008786618613238957,0.014984953442193411,0.21482648166938212,1.2110797830678812,-0.19434543481536726,1.8307893899133052,0.7800941255581919,equal_weight,Equal Weight,0.2378787612955504,0.9308220197872852
test,2025-06-02,2026-06-29,270,268,0.0014208678176359205,0.011637751449264652,0.4077915737792004,1.4406510711002694,-0.07347621517318825,1.8290692596454834,0.7814673177920045,equal_weight,Equal Weight,0.18474357692841475,1.938138775904475
training,2020-01-02,2024-05-31,1111,405,-0.00010207781195043849,0.005668575796049457,-0.029340261324769967,0.877068039687831,-0.23750011334822518,0.5822883886746392,0.26022104658463036,lasso,LASSO,0.08998585106560114,-0.28586281406348624
validation,2024-06-03,2025-05-30,249,112,0.0005780163094177177,0.006587428168552982,0.15113006486407565,1.1485612719252438,-0.09109790613858348,0.7284821122856445,0.3082247952822539,lasso,LASSO,0.1045721802809572,1.3929145359876356
test,2025-06-02,2026-06-29,270,118,0.0005093311500036958,0.007206508247907422,0.13006622890102282,1.1394264646975325,-0.05078741682787902,0.7105915568935736,0.31371913352535896,lasso,LASSO,0.1143997718705931,1.1219554698598537
training,2020-01-02,2024-05-31,1111,856,9.968689811165949e-05,0.00883103732572602,0.015440856473465825,1.069823357085097,-0.20411140125214333,1.3590422980864123,0.6136364133072125,ridge,Ridge,0.14018837149559973,0.17919530740056208
validation,2024-06-03,2025-05-30,249,247,0.00019278089188783763,0.010049200710823113,0.03669126084572971,1.0360984732420806,-0.19269508570753824,1.7966783618881925,0.780809256191812,ridge,Ridge,0.15952611573486883,0.30453186007785693
test,2025-06-02,2026-06-29,270,268,0.0006364656177025879,0.01229977644433273,0.15230180174008434,1.1633744433166744,-0.12976258252609096,1.7171673948185748,0.7823659518476402,ridge,Ridge,0.19525289792036815,0.8214440726327416
training,2020-01-02,2024-05-31,1111,454,-6.567664801201576e-05,0.0061510948314265025,-0.02109318618785183,0.9103698323405854,-0.2105906207379593,0.6552344266148694,0.2897850595636511,elastic_net,Elastic Net,0.09764560328837578,-0.16949575548373133
validation,2024-06-03,2025-05-30,249,112,0.000586315417331361,0.006600253776225975,0.15352425877630727,1.1509121660458843,-0.09097469712138706,0.7282731325860444,0.30821369596571657,elastic_net,Elastic Net,0.10477578049085334,1.4101683086999415
test,2025-06-02,2026-06-29,270,139,0.0005931104191763278,0.008181934749385196,0.1519865560772502,1.163034700619987,-0.0682287065673366,0.857916229675379,0.3761870639944443,elastic_net,Elastic Net,0.1298841875413849,1.1507468958437381
training,2020-01-02,2024-05-31,1111,856,0.0001103270320480987,0.00926372785175318,0.01717120863075383,1.0778766617273945,-0.19644371707958552,1.3435517590834096,0.6135889526098842,random_forest,Random Forest,0.14705712065472923,0.18905859133062505
validation,2024-06-03,2025-05-30,249,247,0.0004963403516340984,0.012443997301911319,0.11215442447407042,1.1102794834195797,-0.15410790269833252,1.737826357371729,0.7805252886991862,random_forest,Random Forest,0.1975423330584966,0.6331694410774958
test,2025-06-02,2026-06-29,270,268,0.0006672536537270743,0.011120071464498485,0.16534505498232943,1.1774367364459368,-0.08779904146362372,1.6776407128442583,0.7824944980861802,random_forest,Random Forest,0.17652566193797287,0.9525409444339381
training,2020-01-02,2024-05-31,1111,856,0.0001250163075557337,0.009014249070565788,0.02154199901708087,1.0984276952728105,-0.19139270059815405,1.3323326904967094,0.6135555945157546,gradient_boosting,Gradient Boosting,0.14309676778027322,0.22015947664464255
validation,2024-06-03,2025-05-30,249,247,0.0006206474017050493,0.011902356558206383,0.14954057642992424,1.1470004870596462,-0.14233766175363916,1.7097276840133986,0.7803143508588011,gradient_boosting,Gradient Boosting,0.1889440528117966,0.8277749042753015
test,2025-06-02,2026-06-29,270,268,0.0010142507973116281,0.010869220495318369,0.27310386916712504,1.294011052684529,-0.1167651325915895,1.635200472772506,0.7819407612290041,gradient_boosting,Gradient Boosting,0.17254352625443217,1.4813143469992396
